NAME,total_pop,median_income,poverty_all,poverty_count,no_vehicle_hh,edu_bachelors,edu_masters,edu_professional,edu_doctorate,edu_total,owner_hh,renter_hh,hh_total,limited_english,limited_english_total,state,county,tract,GEOID,poverty_rate,poverty_rate_c,edu_bachelors_plus,pct_bachelors_plus,pct_renters,pct_limited_english
Census Tract 165; Bronx County; New York,1134,46179,1134,271,0,101,19,0,0,674,0,333,333,0,1012,36,005,016500,36005016500,0.23897707231040563,0.07361806130984011,120,0.17804154302670624,1.0,0.0
Census Tract 166; Bronx County; New York,2417,105764,2401,348,35,350,158,0,3,1630,384,445,829,7,2186,36,005,016600,36005016600,0.14493960849645982,-0.020419402504105705,511,0.31349693251533745,0.5367913148371531,0.003202195791399817
Census Tract 167; Bronx County; New York,3599,41500,3420,1368,32,268,20,22,0,2085,65,1085,1150,73,3375,36,005,016700,36005016700,0.4,0.2346409889994345,310,0.1486810551558753,0.9434782608695652,0.02162962962962963
Census Tract 169; Bronx County; New York,1894,50107,1842,769,27,154,143,0,0,1264,69,495,564,9,1783,36,005,016900,36005016900,0.4174809989142237,0.25212198791365814,297,0.23496835443037975,0.8776595744680851,0.005047672462142457
Census Tract 173; Bronx County; New York,6411,17446,6405,3082,93,371,76,0,0,4160,131,2145,2276,209,6049,36,005,017300,36005017300,0.4811865729898517,0.3158275619892862,447,0.10745192307692308,0.9424428822495606,0.034551165481897836
Census Tract 175; Bronx County; New York,6116,26463,6089,1852,0,311,80,23,0,3880,0,2831,2831,75,5699,36,005,017500,36005017500,0.30415503366726887,0.13879602266670335,414,0.10670103092783505,1.0,0.013160203544481488
Census Tract 177.01; Bronx County; New York,4717,30375,4350,2196,0,279,90,20,0,3177,74,1300,1374,101,4224,36,005,017701,36005017701,0.5048275862068966,0.3394685752063311,389,0.12244255587031791,0.9461426491994177,0.023910984848484848
Census Tract 177.02; Bronx County; New York,5480,47963,5480,1783,198,453,107,0,7,3344,264,1393,1657,80,5121,36,005,017702,36005017702,0.32536496350364963,0.1600059525030841,567,0.16955741626794257,0.8406759203379601,0.015621948838117555
Census Tract 179.01; Bronx County; New York,5096,47035,5096,1150,75,328,88,0,0,3539,133,1553,1686,105,4775,36,005,017901,36005017901,0.22566718995290425,0.060308178952338726,416,0.11754732975416785,0.9211150652431791,0.02198952879581152
Census Tract 179.02; Bronx County; New York,3816,41475,3816,941,0,292,161,0,0,2208,0,1319,1319,37,3485,36,005,017902,36005017902,0.24659329140461217,0.08123428040404665,453,0.20516304347826086,1.0,0.010616929698708751
Census Tract 181.01; Bronx County; New York,3215,-666666666,3211,1181,44,126,37,0,0,1647,88,952,1040,128,2877,36,005,018101,36005018101,0.36779819370912487,0.20243918270855935,163,0.0989678202792957,0.9153846153846154,0.04449078901633646
Census Tract 181.02; Bronx County; New York,5453,33950,5222,1522,15,261,111,40,0,3519,41,2139,2180,53,5067,36,005,018102,36005018102,0.2914592110302566,0.1261002000296911,412,0.1170787155441887,0.9811926605504587,0.010459838168541543
Census Tract 183.01; Bronx County; New York,4665,56508,4665,687,195,495,307,97,9,3384,442,1574,2016,88,4398,36,005,018301,36005018301,0.1472668810289389,-0.018092129971626625,908,0.26832151300236406,0.7807539682539683,0.020009095043201454
Census Tract 183.02; Bronx County; New York,3680,72540,3680,428,54,174,107,24,0,2410,95,1365,1460,25,3541,36,005,018302,36005018302,0.11630434782608695,-0.04905466317447857,305,0.12655601659751037,0.934931506849315,0.007060152499293985
Census Tract 184; Bronx County; New York,4085,117819,4085,366,24,585,150,0,11,2813,604,803,1407,68,3726,36,005,018400,36005018400,0.08959608323133415,-0.07576292776923137,746,0.26519729825808747,0.5707178393745558,0.01825013419216318
Census Tract 185.01; Bronx County; New York,2783,50177,2783,906,0,290,196,0,0,1715,0,1240,1240,31,2593,36,005,018501,36005018501,0.3255479698167445,0.16018895881617898,486,0.28338192419825076,1.0,0.01195526417277285
